ID,Name,Code,OEM Brand,OEM Group,POM,To (Country),To (Region),Sales Rep,Product,Sales,Source Lat,Source Lng,Target Lat,Target Lng,Address
1,현대모비스(주) 창원공장,300001,Kia,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.01957,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
2,현대모비스(주) 창원공장,300001,Kia,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.0007517,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
3,현대모비스(주) 창원공장,300001,Kia,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
4,현대모비스(주) 창원공장,300001,Kia,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.64984,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
5,현대모비스(주) 창원공장,300001,Kia,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,6.39673524,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
6,현대모비스(주) 창원공장,300001,Kia,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,5.23363995,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
7,현대모비스(주) 창원공장,300001,Kia,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
8,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
9,현대모비스 천안EBS,300032,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.33455595,35.592007,128.44714,36.87739,127.15399,"2공단2로 105, 충청남도 천안시 서북구"
10,현대모비스 천안EBS,300032,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0,35.592007,128.44714,36.87739,127.15399,"2공단2로 105, 충청남도 천안시 서북구"
11,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
12,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,17.65650772,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
13,현대모비스(주) 창원공장,300001,Kia,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
14,현대모비스(주) 창원공장,300001,Kia,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
15,현대모비스(주) 창원공장,300001,Kia,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,45.888,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
16,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
17,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,4.3545,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
18,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.7924,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
19,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.0022593,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
20,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.0022734,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
21,현대모비스(주) 창원공장,300001,Kia,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.03315,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
22,현대모비스(주) 창원공장,300001,Kia,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,2.34048,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
23,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.0036025,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
24,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.0288,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
25,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.0648,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
26,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.00576,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
27,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.06148,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
28,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.060744,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
29,현대모비스(주) 창원공장,300001,Hyundai,Hyundai Family,Daehap Plant,South Korea,Asia,DS Lee,MASTER CYLINDER,0.060744,35.592007,128.44714,35.203046,128.674331,"성산패총로 87, 경상남도 창원시 성산구"
